iteration,alpha,f,grad_norm,stopping_reason
98,1e-05,2814907.046034706,47657.646733698006,gradient_tolerance
99,1e-05,2792194.533680579,47657.64435081567,gradient_tolerance
100,1e-05,2769482.0235977033,47657.64196793345,gradient_tolerance
101,1e-05,2746769.5157860788,47657.63958505135,gradient_tolerance
102,1e-05,2724057.0102457046,47657.637202169375,gradient_tolerance
103,1e-05,2701344.5079957317,47657.286753582484,gradient_tolerance
104,1e-05,2678632.1946760756,47657.28437071815,gradient_tolerance
105,1e-05,2655919.9109120793,47657.28198785392,gradient_tolerance
106,1e-05,2633207.656703741,47657.279604989824,gradient_tolerance
107,1e-05,2610495.4320510533,47657.27722212584,gradient_tolerance
108,1e-05,2587783.236954013,47657.27483926198,gradient_tolerance
109,1e-05,2565071.0707564,47657.27245639824,gradient_tolerance
110,1e-05,2542358.91514437,47657.27007353462,gradient_tolerance
111,1e-05,2519646.7618035562,47657.26769067112,gradient_tolerance
112,1e-05,2496934.6610424984,47656.27783628434,gradient_tolerance
113,1e-05,2474223.748814532,47654.15060617297,gradient_tolerance
114,1e-05,2451514.5469560833,47654.05329273988,gradient_tolerance
115,1e-05,2428805.41856279,47654.050910037215,gradient_tolerance
116,1e-05,2406096.2954359013,47653.78730279184,gradient_tolerance
117,1e-05,2383387.3157580392,47653.78492010248,gradient_tolerance
118,1e-05,2360678.355293966,47653.78253741323,gradient_tolerance
119,1e-05,2337969.414043679,47653.7801547241,gradient_tolerance
120,1e-05,2315260.492007175,47653.777772035086,gradient_tolerance
121,1e-05,2292551.6566885887,47651.30855981804,gradient_tolerance
122,1e-05,2269844.532830148,47651.30617725262,gradient_tolerance
123,1e-05,2247137.9545618384,47651.303794687294,gradient_tolerance
124,1e-05,2224431.4598004357,47651.301412122106,gradient_tolerance
125,1e-05,2201724.97346913,47651.29902955704,gradient_tolerance
126,1e-05,2179018.4912537434,47651.296646992094,gradient_tolerance
127,1e-05,2156312.0131542752,47651.294264427255,gradient_tolerance
128,1e-05,2133605.5391707243,47651.291881862555,gradient_tolerance
129,1e-05,2110899.0693030907,47651.289499297956,gradient_tolerance
130,1e-05,2088192.6035513738,47651.287116733474,gradient_tolerance
131,1e-05,2065486.1419155723,47651.28473416912,gradient_tolerance
132,1e-05,2042779.71565896,47649.53275763879,gradient_tolerance
133,1e-05,2020074.648382378,47649.53037516216,gradient_tolerance
134,1e-05,1997369.8664564535,47649.527992685646,gradient_tolerance
135,1e-05,1974665.1008171937,47647.30688924131,gradient_tolerance
136,1e-05,1951962.0852571072,47647.30450687596,gradient_tolerance
137,1e-05,1929259.429520414,47647.30212451074,gradient_tolerance
138,1e-05,1906556.8660362337,47642.57943677954,gradient_tolerance
139,1e-05,1883858.2661454706,47642.577054650574,gradient_tolerance
140,1e-05,1861160.063050671,47641.65742869128,gradient_tolerance
141,1e-05,1838463.4741624296,47637.00166382212,gradient_tolerance
142,1e-05,1815770.7902577226,47631.96773944342,gradient_tolerance
143,1e-05,1793082.5877119587,47631.96535784503,gradient_tolerance
144,1e-05,1770394.7353577397,47626.52387003996,gradient_tolerance
145,1e-05,1747711.5751707782,47625.216431446934,gradient_tolerance
146,1e-05,1725029.4560339178,47625.214050186114,gradient_tolerance
147,1e-05,1702347.727526302,47625.21166892542,gradient_tolerance
148,1e-05,1679666.0790829114,47625.20928766483,gradient_tolerance
149,1e-05,1656984.438905712,47625.20690640436,gradient_tolerance
150,1e-05,1634303.3274087568,47620.593888448835,gradient_tolerance
151,1e-05,1611625.7955641546,47620.591507419136,gradient_tolerance
152,1e-05,1588948.4584062526,47620.58912638957,gradient_tolerance
153,1e-05,1566271.4648921464,47618.655398497176,gradient_tolerance
154,1e-05,1543596.0156052366,47618.6530175644,gradient_tolerance
155,1e-05,1520920.7237800723,47616.93291374813,gradient_tolerance
156,1e-05,1498246.8437103475,47616.93053290149,gradient_tolerance
157,1e-05,1475573.8788692192,47613.30915312586,gradient_tolerance
158,1e-05,1452904.6628734495,47607.15729190378,gradient_tolerance
159,1e-05,1430240.0904434521,47607.15491154592,gradient_tolerance
160,1e-05,1407575.6089241598,47607.15253118817,gradient_tolerance
161,1e-05,1384911.2604493126,47606.170874884425,gradient_tolerance
162,1e-05,1362247.738306274,47602.09159732782,gradient_tolerance
163,1e-05,1339588.4436123993,47589.39286389818,gradient_tolerance
164,1e-05,1316940.1798277071,47586.07001013896,gradient_tolerance
165,1e-05,1294295.9865348756,47583.592264728075,gradient_tolerance
166,1e-05,1271654.0542237086,47581.92135547593,gradient_tolerance
167,1e-05,1249014.627343745,47572.44310903763,gradient_tolerance
168,1e-05,1226384.637271662,47562.57174135277,gradient_tolerance
169,1e-05,1203762.642754363,47555.9368659951,gradient_tolerance
170,1e-05,1181147.817512982,47552.0989505197,gradient_tolerance
171,1e-05,1158535.9327268866,47545.7555125149,gradient_tolerance
172,1e-05,1135930.9608034145,47538.26731256666,gradient_tolerance
173,1e-05,1113333.0034487622,47530.890422695375,gradient_tolerance
174,1e-05,1090741.17693823,47524.27583085637,gradient_tolerance
175,1e-05,1068159.9915866805,47645.83963655042,gradient_tolerance
176,1e-05,1045685.7561387512,47508.088105383125,gradient_tolerance
177,1e-05,1023118.4212736007,47496.219482107095,gradient_tolerance
178,1e-05,1000559.5532112631,47495.32975502898,gradient_tolerance
179,1e-05,978100.7419084389,47608.260355648716,gradient_tolerance
180,1e-05,955571.5346349905,47463.615737989785,gradient_tolerance
181,1e-05,933046.4287435767,47433.60672566919,gradient_tolerance
182,1e-05,910626.267713084,47557.22538880229,gradient_tolerance
183,1e-05,888166.58039591,47405.00596050656,gradient_tolerance
184,1e-05,865697.4487842021,47376.3190236123,gradient_tolerance
185,1e-05,843312.4352536779,47473.418703674906,gradient_tolerance
186,1e-05,820957.8575034132,47304.59753838378,gradient_tolerance
187,1e-05,798585.1124270742,47277.03138743267,gradient_tolerance
188,1e-05,776270.4679621626,47377.33180873381,gradient_tolerance
189,1e-05,754042.7187521545,47187.526860993836,gradient_tolerance
190,1e-05,731780.7217882281,47161.558965164615,gradient_tolerance
191,1e-05,709543.8497148762,47113.20995883999,gradient_tolerance
192,1e-05,687449.3075339483,47210.85843236917,gradient_tolerance
193,1e-05,665312.5769606993,47008.8244967751,gradient_tolerance
194,1e-05,643220.5281205144,46961.10613934921,gradient_tolerance
195,1e-05,621219.9661796493,47076.521079400256,gradient_tolerance
196,1e-05,599262.4042059991,46845.17963426478,gradient_tolerance
197,1e-05,577334.5176557131,46739.82403163089,gradient_tolerance
198,1e-05,555499.8852920263,46642.320418568466,gradient_tolerance
199,1e-05,533843.7071086171,46716.552843912556,gradient_tolerance
200,1e-05,512201.21259511856,46440.94064627798,gradient_tolerance
201,1e-05,490649.7124185451,46338.72625177218,gradient_tolerance
202,1e-05,469199.6214022102,46407.649489122414,gradient_tolerance
203,1e-05,447989.8771760624,45893.54276948849,gradient_tolerance
204,1e-05,426939.7454292599,45790.49403668797,gradient_tolerance
205,1e-05,405994.9348803739,45633.77493482176,gradient_tolerance
206,1e-05,385195.15528229316,45456.71815546883,gradient_tolerance
207,1e-05,364558.7329249785,45269.095210079126,gradient_tolerance
208,1e-05,344099.99565857125,45036.918889386056,gradient_tolerance
209,1e-05,323849.645210048,44933.74167975417,gradient_tolerance
210,1e-05,303833.9377762065,44947.646881759014,gradient_tolerance
211,1e-05,281443.43123536784,44229.70553878499,gradient_tolerance
212,1e-05,261927.41765376087,43921.55994034826,gradient_tolerance
213,1e-05,242718.40503996724,43502.538235469074,gradient_tolerance
214,1e-05,223931.39337688283,43198.39545856746,gradient_tolerance
215,1e-05,205430.38264843632,42596.89028424531,gradient_tolerance
