t,error
1e-08,2.0841533522868855e-12
1.202264434617413e-08,2.2743686410109723e-13
1.4454397707459279e-08,6.635454538665665e-12
1.7378008287493763e-08,1.8862254558835514e-12
2.0892961308540408e-08,5.077355680669195e-12
2.511886431509582e-08,2.6853819054496395e-12
3.0199517204020194e-08,9.212019188643058e-12
3.6307805477010175e-08,6.412999742789333e-12
4.3651583224016566e-08,1.065705053230389e-12
5.248074602497723e-08,5.298951137903615e-12
6.30957344480193e-08,2.5752210964808536e-12
7.585775750291836e-08,8.454197994336825e-12
9.120108393559096e-08,3.876858347697486e-12
1.0964781961431852e-07,2.7553401183919024e-12
1.3182567385564074e-07,7.772563300444124e-12
1.584893192461114e-07,4.037770822990644e-12
1.9054607179632483e-07,4.353846981292736e-12
2.2908676527677748e-07,5.110997074782991e-12
2.754228703338163e-07,9.370152874096926e-12
3.311311214825908e-07,7.108454775327233e-12
3.981071705534969e-07,1.2286293781405694e-11
4.78630092322638e-07,9.151707820384547e-12
5.754399373371567e-07,1.728766739136911e-11
6.918309709189363e-07,2.3011562924266094e-11
8.317637711026709e-07,2.463241763339674e-11
1e-06,3.8967223545127716e-11
1.2022644346174132e-06,5.001588986724981e-11
1.445439770745928e-06,8.146884469123483e-11
1.7378008287493763e-06,1.1696767404471842e-10
2.0892961308540407e-06,1.6165253207203745e-10
2.5118864315095823e-06,2.394343603592808e-10
3.0199517204020193e-06,3.4481470586808505e-10
3.6307805477010175e-06,4.937494137505216e-10
4.365158322401665e-06,7.250269117714536e-10
5.248074602497734e-06,1.0319362014205025e-09
6.309573444801943e-06,1.4944349195633588e-09
7.585775750291836e-06,2.155092168956707e-09
9.120108393559096e-06,3.123445897756927e-09
1.0964781961431852e-05,4.512046099594547e-09
1.3182567385564074e-05,6.53253880156246e-09
1.584893192461114e-05,9.440516441500124e-09
1.9054607179632484e-05,1.3643593286399858e-08
2.29086765276777e-05,1.9719627760567127e-08
2.7542287033381633e-05,2.8498342730803872e-08
3.3113112148259076e-05,4.1198670377995406e-08
3.9810717055349695e-05,5.954542965647125e-08
4.7863009232263804e-05,8.605842678754971e-08
5.7543993733715664e-05,1.2439413615839e-07
6.918309709189363e-05,1.7980541824891283e-07
8.317637711026709e-05,2.5990117406837765e-07
0.0001,3.756617766720316e-07
0.00012022644346174131,5.429931709266533e-07
0.0001445439770745928,7.84869911701902e-07
0.00017378008287493763,1.1344788906908487e-06
0.0002089296130854041,1.6398315746402048e-06
0.0002511886431509582,2.3702724196161817e-06
0.0003019951720402019,3.4260890768855745e-06
0.0003630780547701018,4.9521989441414505e-06
0.0004365158322401656,7.158113977279168e-06
0.0005248074602497723,1.0346614166212298e-05
0.000630957344480193,1.4955420606810321e-05
0.0007585775750291835,2.16171564624279e-05
0.0009120108393559096,3.12462966651772e-05
0.0010964781961431851,4.516463442549856e-05
0.0013182567385564075,6.528276229555985e-05
0.001584893192461114,9.436230517145816e-05
0.0019054607179632482,0.00013639502226014955
0.0022908676527677745,0.00019715077724624663
0.002754228703338169,0.00028496958286972074
0.0033113112148259144,0.00041192851651539186
0.003981071705534978,0.0005955173994509622
0.00478630092322638,0.0008609785000697201
0.005754399373371567,0.0012448001142857379
0.006918309709189363,0.0017997276798356054
0.008317637711026709,0.0026020820771890385
0.01,0.0037648887529524444
0.012022644346174132,0.005450843166293851
0.01445439770745928,0.007894014131506921
0.017378008287493762,0.011432955195392225
0.02089296130854041,0.016557276958696576
0.025118864315095822,0.0239738895767303
0.030199517204020192,0.034696808162863135
0.03630780547701017,0.05019294816903397
0.04365158322401665,0.07256277457345561
0.05248074602497723,0.10490015270842434
0.0630957344480193,0.15190560686964716
0.07585775750291836,0.22009254661043087
0.09120108393559097,0.3190111478423603
0.1096478196143185,0.462535023696077
0.13182567385564073,0.6701802824024412
0.15848931924611143,0.9700769548726385
0.19054607179632482,1.4024475224055948
0.22908676527677746,2.02254569876888
0.2754228703338169,2.909235537867744
0.33113112148259144,4.18110746038667
0.39810717055349776,6.014055823095873
0.47863009232263803,8.674599998762687
0.5754399373371566,12.541222773447998
0.6918309709189363,18.11095212505552
0.8317637711026709,26.110670437091926
1.0,37.73862444721408
